Sl.No.	English Word forms	Hindi Dictionary Translation	Definition/Facts/Descrption	Stong’s Number	References	Aligned Words
791	incense, incenses	धूप	The term "incense" refers to a mixture of fragrant spices that is burned to produce smoke that has a pleasant smell.   * God told the Israelites to burn incense as an offering to him. * The incense had to be made by mixing equal amounts of five specific spices exactly as God directed. This was a sacred incense, so they were not allowed to use it for any other purpose. * The "altar of incense" was a special altar that was only used for burning incense. * The incense was offered at least four times a day, at each hour of prayer. It was also offered every time a burnt offering was made. * The burning of incense represents prayer and worship rising up to God from his people. * Other ways to translate "incense" could include "fragrant spices" or "good-smelling plants."   )	G2368,G2369,G2370,G2379,G3031	42001010	
792	inquire, inquires, inquired, inquiries	पूछना, जांच करना, जाँच-पड़ताल, पूछ-ताछ	The term "inquire" means to ask someone for information. The expression "inquire of" is often used to refer to asking God for wisdom or help.  * The Old Testament records several instances where people inquired of God. * The word can also be used of a king or government official making a search through official written records. * Depending on the context, "inquire" could be translated as "ask" or "ask for information."  * The expression "inquire of Yahweh" could be translated as "ask Yahweh for guidance" or "ask Yahweh what to do." * To "inquire after" something could be translated as "ask questions about" or "ask for information about." * When Yahweh says "I will not be inquired of by you," this could be translated as "I will not allow you to ask me for information" or  "you will not be permitted to seek help from me."	G1830		
793	instruct, instructs, instructed, instructing, instruction, instructions, instructors	निर्देश, निर्देश, निर्देश दिए, निर्देश देते रहना, अनुदेश, निर्देश, निर्देशक	The terms "instruct" and "instruction" refer to giving specific directions about what to do.  * To "give instructions" means to tell someone specifically what he is supposed to do. * When Jesus gave the disciples the bread and fish to distribute to the people, he gave them specific instructions about how to do it. * Depending on the context, the term "instruct" could also be translated as "tell" or "direct" or "teach" or "give instructions to." * The term "instructions" could be translated as "directions" or "explanations" or "what he has told you to do." * When God gives instructions, this term is sometimes translated as "commands" or "orders."  (See also: [command](../kt/command.md), [decree](../other/decree.md), [teach](../other/teach.md))	G1256,G1299,G1319,G1321,G1378,G1781,G1785,G2322,G2727,G2753,G3559,G3560,G3614,G3615,G3624,G3811,G3852,G3853,G4264,G4367,G4822	58011022 ,40010005 ,40011001	
794	integrity	खराई	The term "integrity" refers to being honest, with strong moral principles and behavior is said to have integrity.  * Having integrity also means choosing to do what is honest and right even when nobody else is watching. * Certain characters in the Bible, such as Joseph and Daniel, showed integrity when they refused to do evil and chose to obey God. * The book of Proverbs says that it is better to be poor and have integrity than to be rich and corrupt or dishonest.	G4587		
795	interpret, interprets, interpreted, interpreting, interpretation, interpretations, interpreter	भेद करना, अनुवाद करना, समझा दिया, व्याख्या, अर्थ बताना, व्याख्याओं, फल का बतानेवाला	The terms "interpret" and "interpretation" refer to understanding and explaining the meaning of something that is not clear.  * Often in the Bible these terms are used in connection with explaining the meaning of dreams or visions. * When the king of Babylon had some confusing dreams, God helped Daniel to interpret them and to explain their meanings. * The "interpretation" of the dream is the "explanation" of the meaning of the dream. * In the Old Testament, God sometimes used dreams to reveal to people what would happen in the future. So the interpretations of those dreams were prophecies. * The term "interpret" can also refer to figuring out the meaning of other things, such as figuring out what the weather will be like based on how cold or hot it is, how windy it is, and what the sky looks like. * Ways to translate the term "interpret" could include, "figure out the meaning of" or "explain" or "give the meaning of." * The term "interpretation" could also be translated as "explanation" or "meaning."   )	G1252,G1328,G1329,G1381,G1955,G2058,G3177,G4793	46012010 ,42012056	
796	Jewish authorities, Jewish leader	यहूदियों, यहूदी	'The term "Jewish leader" or "Jewish authority" refers to religious leaders such as the priests and teachers of God''s laws. They also had the authority to make judgments about non-religious matters as well.  * The Jewish leaders were the high priests, chief priests, and scribes (teachers of God''s laws). * Two main groups of Jewish leaders were the Pharisees and Saduccees. * Seventy Jewish leaders met together in the Jewish Council in Jerusalem to make judgments about matters of law. * Many Jewish leaders were proud and thought they were righteous. They were jealous of Jesus and wanted to harm him. They claimed to know God but did not obey him. * Often the phrase "the Jews" referred to the Jewish leaders, especially in contexts where they were angry at Jesus and were trying to trick or harm him. * These terms could also be translated as "Jewish rulers" or "men who ruled over the Jewish people" or "Jewish religious leaders."   '	G2453	43002019 ,43005010 ,43005011 ,43005016 ,42019047 ,42019048	
797	joy, joyful, joyfully, joyfulness, enjoy, enjoys, enjoyed, enjoying, enjoyment, rejoice, gladness, rejoices, rejoiced, rejoicing	आनन्द, आनन्दित, आनन्द से, आनन्द, आनन्दमय , आनंद लिया, सुख-विलास	Joy is a feeling of delight or deep satisfaction that comes from God. The related term "joyful" describes a person who feels very glad and is full of deep happiness.  * A person feels joy when he has a deep sense that what he is experiencing is very good. * God is the one who gives true joy to people. * Having joy does not depend on pleasant circumstances. God can give people joy even when very difficult things are happening in their lives. * Sometimes places are described as joyful, such as houses or cities. This means that the people who live there are joyful.  The term "rejoice" means to be full of joy and gladness.  * This term often refers to being very happy about the good things that God has done. * It could be translated as "be very happy" or "be very glad" or "be full of joy." * When Mary said "my soul rejoices in God my Savior," she meant "God my Savior has made me very happy" or "I feel so joyful because of what God my Savior has done for me."	G20,G21,G2167,G2744,G3685,G4640,G5463,G5479	40002009 ,40002010 ,42015007 ,42019037 ,42019038 ,43003029 ,44016032 ,44016033 ,44016034 ,45005001 ,45005002 ,45015030 ,45015031 ,45015032 ,48005023 ,50004010 ,50004011 ,50004012 ,50004013 ,52001006 ,52001007 ,52005016 ,57001004 ,57001005 ,57001006 ,57001007 ,59001002 ,64001001 ,64001002 ,64001003 ,64001004	
798	Judaism, Jewish religion	यहूदी धर्म, यहूदी मत	The term "Judaism" refers to the religion practiced by the Jews. It is also referred to as the "Jewish religion."  * In the Old Testament, the term "Jewish religion" is used, while in the New Testament, the term "Judaism" is used. * Judaism includes all the Old Testament laws and instructions that God gave to the Israelites to obey. It also includes the customs and traditions that have been added to the Jewish religion over time. * When translating, the term "Jewish religion" or "religion of the Jews" can be used in both the Old and New Testaments. * "Judaism," however should only be used in the New Testament, since the term did not exist before that time.  (See also: [Jew](../kt/jew.md), [law](../kt/lawofmoses.md))	G2454	48001013 ,48001014	
799	judge, judges	न्यायी, न्याय	A judge is a person who decides what is right or wrong when there are disputes between people, usually in matters that pertain to the law.  * In the Bible, God is often referred to as a judge because he is the one perfect judge who makes the final decisions about what is right or wrong. * After the people of Israel entered the land of Canaan and before they had kings to rule them, God appointed leaders called "judges" to lead them in times of trouble. Often these judges were military leaders who rescued the Israelites by defeating their enemies. * The term "judge" could also be called "decision-maker" or "leader" or "deliverer" or "governor," depending on the context.   )	G350,G1252,G1348,G2919,G2922,G2923	55004008 ,44007027 ,42011019 ,42012014 ,42018001 ,42018002 ,40005025	
800	kin, kinfolk, kindred, kinsfolk, kinsman, kinsmen	कुटुम्बी, भाइयों, जन्म-भूमि, कुटुम्बी, कुटुम्बियों	'The term "kin" refers to a person''s blood relatives, considered as a group. The word "kinsman" refers specifically to a male relative.  * "Kin" can only refer to a person''s close relatives, such as parents and siblings, or it can also include more distant relatives, such as an aunts, uncles, or cousins. * In ancient Israel, if a man died, his nearest male relative was expected to marry his widow, manage his property, and help carry on his family name. This relative was called a "kinsman-redeemer." * This term "kin" could also be translated as, "relative" or "family member."'	G4773	45016009 ,45016010 ,45016011	
801	kind, kinds, kindness, kindnesses	प्रकार, भांति-भांति, करुणा, उपकार	The terms "kind" and "kinds" refer to groups or classifications of things that are connected by shared characteristics.  * In the Bible, this term is specifically used to refer to the distinctive kinds of plants and animals that God made when he created the world. * Often there are many different variations or species within each "kind." For example, horses, zebras, and donkeys are all members of the same "kind," but they are different species. * The main thing that distinguishes each "kind" as a separate group is that members of that group can reproduce more of their same "kind." Members of different kinds cannot do that with each other.	G1085,G5449	41009029 ,40013047	
802	king, kings, kingship, kingly	राजा, राजाओं, राज्य, राज्यों, राज्य, राजसी	'The term "king" refers to a man who is the supreme ruler of a city, state, or country.  * A king was usually chosen to rule because of his family relation to previous kings. * When a king died, it was usually his oldest son who became the next king. * In ancient times, the king had absolute authority over the people in his kingdom. * Rarely the term "king" was used to refer to someone who was not a true king, such as "King Herod" in the New Testament. * In the Bible, God is often referred to as a king who rules over his people. * The "kingdom of God" refers to God''s rule over his people. * Jesus was called "king of the Jews," "king of Israel," and "king of kings." * When Jesus comes back, he will rule as king over the world. * This term could also be translated as "supreme chief" or "absolute leader" or "sovereign ruler." * The phrase "king of kings" could be translated as  "king who rules over all other kings" or "supreme ruler who has authority over all other rulers."   )'	G935,G936	54006015 ,54006016 ,44007009 ,44007010 ,44013022 ,43001049 ,43001050 ,43001051 ,42001005 ,42022024 ,42022025 ,40005035 ,40014009	
803	kingdom, kingdoms	राज्य, राज्यों	A kingdom is a group of people ruled by a king. It also refers to the realm or political regions over which a king or other ruler has control and authority.  * A kingdom can be of any geographical size. A king might govern a nation or country or only one city. * The term "kingdom" can also refer to a spiritual reign or authority, as in the term "kingdom of God." * God is the ruler of all creation, but the term "kingdom of God" especially refers to his reign and authority over the people who have believed in Jesus and who have submitted to his authority. * The Bible also talks about Satan having a "kingdom" in which he temporarily rules over many things on this earth. His kingdom is evil and is referred to as "darkness."	G932	52002012 ,55004017 ,55004018 ,51001013 ,51001014 ,43018036 ,41003024 ,40004007 ,40004008 ,40004009 ,40013019 ,40016028 ,66001009	
804	kiss, kisses, kissed, kissing	चुम्बन, चुम्बनों, चूमा, चूमना	'A kiss is an action in which one person puts his lips to another person''s lips or face. This term can also be used figuratively.  * Some cultures kiss each other on the cheek as a form of greeting or to say goodbye. * A kiss can communicate deep love between two people, such as a husband and wife. * The expression to "kiss someone farewell" means to say goodbye with a kiss. * Sometimes the word "kiss" is used to mean "say goodbye to." When Elisha said to Elijah, "Let me first go and kiss my father and mother," he wanted to say goodbye to his parents before leaving them to follow Elijah.'	G2705,G5368,G5370	52005025 ,52005026 ,52005027 ,52005028 ,42022048 ,41014045 ,40026048	
805	know, knows, knew, knowing, knowledge, known, make known, makes known, made known, unknown, seeing, saw	जानना, जानता है, जानता था, जानना, ज्ञान, ज्ञात, प्रकट करना, ज्ञात करता है, ज्ञात करता है, अज्ञात, पहले से जानना, पूर्वज्ञान	'To "know" means to understand something or to be aware of a fact. The expression "make known" is an expression that means to tell information.  * The term "knowledge" refers to information that people know. It can apply to knowing things in both the physical and spiritual worlds. * To "know about" God means to understand facts about him because of what he has revealed to us.  * To "know" God means to have a relationship with him. This also applies to knowing people. * To know God''s will means to be aware of what he has commanded, or to understand what he wants a person to do. * To "know the Law" means to be aware of what God has commanded or to understand what God has instructed in the laws he gave to Moses. * Sometimes "knowledge" is used as a synonym for "wisdom," which includes living in a way that is pleasing to God. * The "knowledge of God" is sometimes used as a synonym for the "fear of Yahweh."'	G50,G56,G1097,G1107,G1108,G1231,G1492,G1921,G1922,G1987,G2467,G2589,G3877,G4267,G4894	46002012 ,46002013 ,47002015 ,61001003 ,61001004 ,42001077	
806	labor, labors, labored, laborer, laborers, work, worked, hard work	परिश्रम, परिश्रम करे, परिश्रम किया, मजदूर, मजदूरों	The term "labor" refers to doing hard work of any kind.  * In general, labor is any task which uses energy. It is often implied that the task is difficult. * A laborer is a person who does any type of labor. * In English, the word "labor" is also used for part of the process of giving birth. Other languages may have a completely different word for this. * Ways to translate "labor" could include "work" or "hard work" or "difficult work" or to "work hard."   )	G75,G2038,G2040,G2041,G2872,G2873,G4704,G4866,G4904,G5389	52002009 ,52003005 ,48004010 ,48004011 ,59005004 ,43004038 ,42010002 ,40010010	
807	labor pains, in labor, birth pains, pains of childbirth, labors in pain together	प्रसव, जच्चा की सी, जच्चा की सी पीड़ाएँ	A woman who is "in labor" is experiencing the pains that lead up to the birth of her child. These are called "labor pains."  * In his letter to the Galatians, the apostle Paul used this term figuratively to describe his own intense striving to help his fellow believers become more and more like Christ. * The analogy of labor pains is also used in the Bible to describe how disasters in the last days will happen with increasing frequency and intensity.   	G3449,G4944,G5088,G5604,G5605	48004019 ,45008022	
808	lamp, lamps torch, torches	दीपक, दीपकों	The term "lamp" generally refers to something that produces light. The lamps used in Bible times were usually oil lamps.  The type of lamp that was used in Bible times is a small container with a fuel source, usually oil, that gives light when it burns.  * An ordinary oil lamp usually consisted of a common piece of pottery filled with olive oil, with a wick placed in the oil to burn. * For some lamps, the pot or jar was oval, with one end pinched close together to hold the wick. * An oil lamp could be carried or placed on a stand so that its light could fill a room or house. * In scripture, lamps are used in several figurative ways as symbols of light and life.   )	G2985,G3088	42008016 ,42008017 ,42008018 ,40005015 ,40006022 ,40025003	
809	lampstand, lampstands	दीवट, दीवटों	In the Bible, the term "lampstand" generally refers to a structure on which a lamp is placed in order to provide light to a room.  * A simple lampstand usually held one lamp and was made of clay, wood, or metal (such as bronze, silver, or gold.) * In the Jerusalem temple there was a special gold lampstand which had seven branches for holding seven lamps.	G3087	41004021 ,41004022 ,41004023 ,40005015 ,40005016 ,66001012 ,66001013 ,66001020	
810	law, laws, lawgiver, lawbreaker, lawbreakers, lawsuit, lawyer, principle, principled, principles	व्यवस्था, व्यवस्थाएं, व्यवस्था देनेवाला, अपराधी, अपराधियों, मुकदमा, वकील, सिद्धांत, सैद्धांतिक, सिद्धांत	'A "law" is a legal rule that is usually written down and enforced by someone in authority. A "principle" is a guideline for decision-making and behavior.  * Both "law" and "principle" can refer to a general rule or belief that guides a person''s behavior. * This meaning of "law" is different from its meaning in the term "law of Moses," where it refers to commands and instructions that God gave the Israelites. * When a general law is being referred to, "law" could be translated as "principle" or "general rule."   '	G1785,G3548,G3551,G4747	43018031	
811	lawful, lawfully, unlawful, not lawful, lawless, lawlessness	उचित, व्यवस्था की रीति पर, उचित नहीं	'The term "lawful" refers to something that is permitted to be done according to a law or other requirement. The opposite of this is "unlawful," which simply means "not lawful."   * In the Bible, something was "lawful" if it was permitted by God''s moral law, or by the Law of Moses and other Jewish laws. Something that was "unlawful" was "not permitted" by those laws. * To do something "lawfully" means to do it "properly" or "in the right way." * Many of the things that the Jewish laws considered lawful or not lawful were not in agreement with God''s laws about loving others. * Depending on the context, ways to translate "lawful" could include "permitted" or "according to God''s law" or "following our laws" or "proper" or "fitting." * The phrase "Is it lawful?" could also be translated as "Do our laws allow?" or "Is that something our laws permit?"  The terms "unlawful" and "not lawful" are used to describe actions that break a law.  * In the New Testament, the term "unlawful" is not only used to refer to breaking God''s laws, but also often refers to breaking Jewish man-made laws. * Over the years, the Jews added to the laws that God gave to them. The Jewish leaders would call something "unlawful" if it did not conform to their man-made laws. * When Jesus and his disciples were picking grain on a Sabbath day, the Pharisees accused them of doing something "unlawful" because it was breaking the Jewish laws about not working on that day. * When Peter stated that eating unclean foods was "unlawful" for him, he meant that if he ate those foods he would be breaking the laws God had given the Israelites about not eating certain foods.  The term "lawless" describes a person who does not obey laws or rules. When a country or group of people are in a state of "lawlessness," there is widespread disobedience, rebellion, or immorality.  * A lawless person is rebellious and does not obey God''s laws. * The apostle Paul wrote that in the last days there will be a "man of lawlessness," or a "lawless one," who will be influenced by Satan to do evil things.'	G111,G459,G1832,G3545	40007021 ,40007022 ,40007023 ,40012002 ,40012004 ,40012010 ,41003004 ,42006002 ,44002023 ,44010028 ,44022025 ,53002003 ,56002014 ,62003004 ,62003005 ,62003006	
812	lawless	अधर्मी, अधर्म		G113,G266,G458,G459		
813	learned men, astrologers	ज्योतिषी, भावी बतानेवालों	'In Matthew''s account of the birth of Christ, the "learned" or "educated" men were the "wise men" who brought gifts to Jesus in Bethlehem sometime after his birth there. They may have been "astrologers," people who study the stars.  * These men traveled a long way from a country far to the east of Israel. It is not known exactly where they came from or who they were. But they were obviously scholars who had studied the stars. * They may have been descendants of the wise men who served the Babylonian kings in Daniel''s time and who were trained in many things, including studying the stars and interpreting dreams. * Traditionally it has been said that there were three wise men or learned men because of the three gifts they brought to Jesus. However, the Bible text does not say how many there were.   '	G3097	40002001 ,40002007 ,40002016	
814	leopard, leopards	चीता, चीतों	A leopard is a large, cat-like, wild animal that is brown with black spots.  * A leopard is a kind of animal which catches other animals and eats them. * In the Bible, the suddenness of disaster is compared to a leopard, which pounces suddenly on its prey. * The prophet Daniel and the apostle John tell about visions in which they saw a beast that looked like a leopard.  (See also: [How to Translate Unknowns](rc://en/ta/man/translate/translate-unknown))  (Translation suggestions: [Translate Names](rc://en/ta/man/translate/translate-names))   		66013001 ,66013002	
815	leper, lepers, leprosy, leprous	कोढ़ी, कोढ़ियों, कोढ़, कोढ़	The term "leprosy" is used in the Bible to refer to several different skin diseases. A "leper" is a person who has leprosy. The term "leprous" describes a person or body part that is infected with leprosy.  * Certain kinds of leprosy cause the skin to become discolored with white patches, as when Miriam and Naaman had leprosy. * In modern times, leprosy often causes hands, feet, and other body parts to become damaged and deformed. * According to the instructions that God gave to the Israelites, when a person had leprosy, he was considered "unclean" and had to stay away from other people so that they would not become infected with the disease. * A leper would often call out "unclean" so that others would be warned not to come near him. * Jesus healed many lepers, and also people who had other kinds of diseases.	G3014,G3015	42005013 ,42017012 ,41001040 ,41014003 ,40008003 ,40010008 ,40010009 ,40010010 ,40011005	
816	epistle, letter, letters	पत्री, पत्र, चिट्ठियाँ	A letter is a written message sent to a person or group of persons who are usually a distance away from the writer. An epistle is a special type of letter, often written in a more formal style, for a special purpose, such as teaching.  * In New Testament times, epistles and other types of letters were written on parchment made from animal skins or on papyrus made from plant fibers. * The New Testament epistles from Paul, John, James, Jude, and Peter were letters of instruction that they wrote to encourage, exhort, and teach the early Christians in various cities throughout the Roman Empire. * Ways to translate this term could include "written message" or "written down words" or "writing."   )	G1121,G1989,G1992	52005027 ,53002015 ,44009001 ,44009002 ,44028021 ,44028022	
817	light, lights, lighting, lightning, daylight, sunlight, twilight, enlighten, enlightened	उजियाला, ज्योतियों, बिजली, बिजलियाँ, उजियाले, सूर्य के उजियाले, सांझ, प्रकाशित, ज्योतिर्मय	'There are several figurative uses of the term "light" in the Bible. It is often used as a metaphor for righteousness, holiness, and truth. (See: [Metaphor](rc://en/ta/man/translate/figs-metaphor))  * Jesus said, "I am the light of the world" to express that he brings God''s true message to the world and rescues people from the darkness of their sin. * Christians are commanded to "walk in the light," which means they should be living the way God wants them to and avoiding evil. * The apostle John stated that "God is light" and in him there is no darkness at all. * Light and darkness are complete opposites. Darkness is the absence of all light.  * Jesus said that he was "the light of the world" and that his followers should shine like lights in the world by living in a way that clearly shows how great God is. * "Walking in the light" represents living in a way that pleases God, doing what is good and right. Walking in darkness represents living in rebellion against God, doing evil things.'	G681,G796,G1645,G2985,G3088,G5338,G5457,G5458,G5460,G5462	62001007 ,62002008 ,47004006 ,44026018 ,43001005 ,40005016 ,40006023 ,66018023 ,66018024	
818	like, liken, likeness, likenesses, likewise, alike, unlike, as if	के समान, एक मन, सदृश करना, समानता, समता, वैसे ही, बराबर, से अलग	'The terms "like" and "likeness" refer to something being the same as, or similar to, something else.  * The word "like" is also often used in a figurative expressions called a "simile" in which something is compared to something else, usually highlighting a shared characteristic. For example, "his clothes shined like the sun" and "the voice boomed like thunder." (See: [Simile](rc://en/ta/man/translate/figs-simile)) * To "be like" or "sound like" or "look like" something or someone means to have qualities that are similar to the thing or person being compared to. * People were created in God''s "likeness," that is, in his "image." It means that they have qualities or characteristics that are "like" or "similar to" qualities that God has, such as the ability to think, feel, and communicate. * To have "the likeness of" something or someone means to have characteristics that look like that thing or person.'	G1503,G1504,G2509,G2531,G2596,G3664,G3665,G3666,G3667,G3668,G3669,G3697,G4833,G5108,G5613,G5615,G5616,G5618,G5619	41008024 ,40017002 ,40018003 ,66001012 ,66001013	
819	lions, lion, lioness, lionesses	सिंहों, सिंह, सिंहनी, सिंहनी	A lion is a large, cat-like, that has animal, with powerful teeth and claws for killing and tearing apart its prey.  * Lions have powerful bodies and great speed to catch their prey. Their fur is short and golden-brown. * Male lions have a mane of hair that encircles their heads. * Lions kill other animals to eat them and can be dangerous to human beings. * When King David was a boy, he killed lions that tried to attack the sheep he was caring for. * Samson also killed a lion, with his bare hands.  (See also: [How to Translate Unknowns](rc://en/ta/man/translate/translate-unknown))   	G3023	66005005	
820	livestock	पशु	The term "livestock" refers to animals which are raised to provide food and other useful products. Some types of livestock are also trained as work animals.  * Kinds of livestock include sheep, cattle, goats, horses, and donkeys. * In Biblical times, wealth was partly measured by how much livestock a person had. * Livestock are used to produce items such as wool, milk, cheese, housing materials, and clothing. * This term could also be translated as "farm animals."  (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   			
821	locust, locusts	टिड्डी, टिड्डियाँ	'The term "locust" refers to a type of large, flying grasshopper that sometimes flies with many other of its kind in a very destructive swarm that eats all vegetation.    * Locusts and other grasshoppers are large, straight-winged insects with long, jointed back legs that give them the ability to jump a long distance way. * In the Old Testament, swarming locusts were referred to figuratively as a symbol or picture of the overwhelming devastation that would come as a result of Israel''s disobedience. * God sent locusts as one of the ten plagues against the Egyptians.  * The New Testament says that locusts were a main source of food for John the Baptist while he was living in the desert.   (Translation suggestions: [How to Translate Names](rc://en/ta/man/translate/translate-names))   )'	G200	41001006	
822	loins, were descendants, waist	कमर	'The term "loins" refers to the part of the body of an animal or person that is between the lower ribs and the hip bones, also known as the lower abdomen.   * The expression "gird up the loins" refers to preparing to work hard. It comes from the custom of tucking the bottom of one''s robe into a belt around the waist in order to move with ease. * The term "loins" is often used in the Bible to refer to the lower back part of an animal that was sacrificed. * In the Bible, the term "loins" often refers figuratively and euphemistically to a man''s reproductive organs as the source of his descendants. (See: [euphemism](rc://en/ta/man/translate/figs-euphemism)) * The expression "will come from your loins" could also be translated as, "will be your offspring" or "will be born from your seed" or "God will cause to come from you." (See: [euphemism](rc://en/ta/man/translate/figs-euphemism)) * When referring to a part of the body, this could also be translated as "abdomen" or "hips" or "waist," depending on the context.   '	G3751	60001013	
823	lots, casting lots	चिट्ठियाँ, चिट्ठियाँ डालकर	'A "lot" is a marked object that is chosen from among other similar objects as a way of deciding something. "Casting lots" referred to tossing marked objects onto the ground or other surface.  * Often the lots were small marked stones or pieces of broken pottery. * Some cultures "draw" or "pull out" lots using a bunch of straws. Someone holds the straws so that no one can see how long they are. Each person pulls out a straw and the one who picks the longest (or shortest) straw is the one who is chosen. * The practice of casting lots was used by the Israelites to find out what God wanted them to do. * As in the time of Zechariah and Elizabeth, it was also used to choose which priest would perform a specific duty in the temple at a specific time. * The soldiers who crucified Jesus cast lots to decide who would get to keep Jesus'' robe. * The phrase "casting lots" can be translated as "tossing lots" or "drawing lots" or "rolling lots." Make sure the translation of "cast" does not sound like the lots were being thrown a long distance. * Depending on the context, the term "lot" could also be translated as "marked stone" or "pottery piece" or "stick" or "piece of straw." * If a decision is made "by lot" this could be translated as, "by drawing (or throwing) lots."   )'	G2624,G2819,G2975,G3091	42001008 ,42001009 ,42001010 ,42023034 ,41015022 ,40027035 ,40027036 ,40027037	
824	lover, lovers	प्रेमी, यारों	'The term "lover" literally means "person who loves." Usually this refers to people who are in a sexual relationship with each other.  * When the term "lover" is used in the Bible, it usually refers to a person who is involved in a sexual relationship with someone he or she is not married to. * This wrong sexual relationship is often used in the Bible to refer to Israel''s disobedience to God in worshiping idols. So the term "lovers" is also used in a figurative way to refer to the idols that the people of Israel worshiped. In these contexts, this term could possibly be translated by "immoral partners" or "partners in adultery" or "idols." [See  Metaphor] * A "lover" of money is someone who puts too much importance on getting money and being rich. * In the Old Testament book Song of Songs, the term "lover" is used in a positive way.    '	G865,G866,G5358,G5366,G5367,G5369,G5377,G5381,G5382	42016014	
825	lowly, lowliest, lowliness	दीन, छोटा होगा, दीनता	The terms "lowly" and "lowliness" refer to being poor or having low status. Being lowly can also have the meaning of being humble.  * Jesus humbled himself to the lowly position of becoming a human being and serving others. * His birth was lowly because he was born in a place where animals were kept, not in a palace. * Having a lowly attitude is the opposite of being proud. * Ways to translate "lowly" could include "humble" or "of low status" or "unimportant." * The word "lowliness" could also be translated as "humility" or "little importance."  (See also: [humble](../kt/humble.md), [proud](../other/proud.md))	G5011,G5012,G5014	44020019 ,42001048 ,42001049 ,45012016	
826	lust, lusts, lusted, lusting, lustful, passions, desires	लालच, अभिलाषाओं, मोहित, लालसा करना, लुचपन	'Lust is a very strong desire, usually in the context of wanting something sinful or immoral. To lust is to have lust.  * In the Bible, "lust" usually referred to sexual desire for someone other than one''s own spouse. * Sometimes this term was used in a figurative sense to refer to worshiping idols. * Depending on the context, "lust" could be translated as "wrong desire" or "strong desire" or "wrongful sexual desire" or "strong immoral desire" or to "strongly desire to sin." * The phrase to "lust after" could be translated as to "wrongly desire" or to "think immorally about" or to "immorally desire."   (See also: [adultery](../kt/adultery.md), [false god](../kt/falsegod.md))'	G766,G1937,G1938,G1939,G1971,G2237,G3715,G3806	62002016 ,55002022 ,48005016 ,48005019 ,48005020 ,48005021 ,40005028	
827	lute, lyre, lyres	वीणा, तार वाला बाजा, सारंगियाँ	A lute and a lyre are small, stringed, musical instruments that were used by the Israelites to worship God.  * A lyre looks like a small harp, having strings strung across an open frame. * A lute is very similar to a modernday acoustic guitar, having a wooden sound box and an extended neck on which strings are strung. * In playing a lute or a lyre, certain strings are held down with the fingers of one hand while these and  other strings are plucked or strummed with the other hand. * The lute, lyre, and harp are all played by strumming or plucking the strings. * The number of strings varied, but the Old Testament specifically mentions instruments that had ten strings.     			
828	magic, magical, magician, magicians, who talk with spirits, who talks with spirits	जादू, जादू टोना, तांत्रिक, जादूगरों	'The term "magic" refers to the practice of using supernatural power that does not come from God. A "magician" is someone who practices magic.  * In Egypt, when God did miraculous things through Moses, the Egyptian pharaoh''s magicians were able to do some of the same things, but their power did not come from God. * Magic often involves casting spells or repeating certain words in order to make something supernatural happen. * God commands his people to not do any of these practices of magic or divination. * A sorcerer is a type of magician, usually one who uses magic to do harm to others.   )'	G3097		
829	magistrate, magistrates	न्यायाधीश, हाकिमों	A magistrate is an appointed official who acts as a judge and decides matters of law.  * In Bible times, a magistrate also settled disputes between people. * Depending on the context, ways to translate this term could include "ruling judge" or "legal officer" or "city leader."   	G758,G3980,G4755	44016020 ,44016035 ,42012058	
830	magnify	बड़ा ठहराएगा		G1392,G3170		
831	manager, managers, steward, stewards, stewardship	प्रबंधक  प्रबंधक प्रबंधकों, भण्डारी,  भण्डारियों, भंडारीपन	'The term "manager" or "steward" in the Bible refers to a servant who was entrusted with taking care of his master''s property and business dealings.  * A steward was given a lot of responsibility, which included supervising the work of other servants. * The term "manager" is a more modern term for a steward. Both terms refer to someone who manages practical affairs for someone else.'	G2012,G3621,G3623	54003004 ,54003005 ,42008003 ,42016002 ,40020008 ,40020009 ,40020010 ,56001007	
832	mealoffering	अन्नबलि				
833	mediator	मध्यस्थ	'A mediator is a person who helps two or more people to resolve their disagreements or conflicts with each other. He helps them to become reconciled.  * Because people have sinned, they are God''s enemies who deserve his wrath and punishment. Because of sin, the relationship between God and his people is broken. * Jesus is the mediator between God the Father and his people, restoring that broken relationship through his death as payment for their sin.'	G3312,G3316	54002005 ,48003020 ,58008006 ,58012024 ,42012014	
834	meditate, meditates, meditation, thoughts	ध्यान, ध्यान करता, ध्यान	"The term meditate" means to spend time thinking about something carefully and deeply.  * This term is often used in the Bible to refer to thinking about God and his teachings. * Psalm 1 says that the person who meditates on the law of the Lord  "day and night" will be greatly blessed.	G3191,G4304		
835	meek, meekness	नम्र, नम्रता	The term "meek" describes a person who is gentle, submissive, and willing to suffer injustice. Meekness is the ability to be gentle even when harshness or force might seem appropriate.  * Meekness is often associated with humility. * This term could also be translated as "gentle" or "mild-mannered" or "sweet-tempered." * The term "meekness" could be translated as "gentleness" or "humility."  (See also: [humble](../kt/humble.md))	G4235,G4236,G4239,G4240	60003015 ,60003016 ,60003017 ,47010001 ,47010002 ,55002025 ,40005005 ,40011029	
