Sl.No.	key_word_eng	key_word_hin	word_forms_en	word_forms_hi	strongs_en	strongs_hi	references_en	
979	strife	strife	strife, disputes, quarrel, arguing, conflict, conflicts	कलह	['H1777', 'H1779', 'H4066', 'H4090', 'H4683', 'H4808', 'H7379', 'H7701', 'G485', 'G2052', 'G2054', 'G3055', 'G3163', 'G5379']	['H1777', 'H1779', 'H4066', 'H4090', 'H4683', 'H4808', 'H7379', 'H7701', 'G485', 'G2052', 'G2054', 'G3055', 'G3163', 'G5379']	* [1 Corinthians 03:3-5](rc://en/tn/help/1co/03/03)* [Habakkuk 01:03](rc://en/tn/help/hab/01/03)* [Philippians 01:17](rc://en/tn/help/php/01/17)* [Proverbs 17:01](rc://en/tn/help/pro/17/01)* [Psalms 055:8-9](rc://en/tn/help/psa/055/008)* [Romans 13:13](rc://en/tn/help/rom/13/13)	46003003. 46003004. 46003005. 35001003. 50001017. 20017001. 19055008. 19055009. 45013013. 
980	strongdrink	strongdrink	strong drink, strong drinks	दाखमधु, दाखमधु	['H5435', 'H7941', 'G4608']	['H5435', 'H7941', 'G4608']	* [Isaiah 05:11-12](rc://en/tn/help/isa/05/11)* [Leviticus 10:09](rc://en/tn/help/lev/10/09)* [Luke 01:14-15](rc://en/tn/help/luk/01/14)* [Numbers 06:03](rc://en/tn/help/num/06/03)	23005011. 23005012. 03010009. 42001014. 42001015. 04006003. 
981	stronghold	stronghold	stronghold, strongholds, fortifications, fortified, fortress, fortresses	गढ़, गढ़ों, मजबूत गढ़, दृढ़, मजबूत गढ़, गढ़ों	['H490', 'H759', 'H1001', 'H1002', 'H1003', 'H1219', 'H1225', 'H2388', 'H4013', 'H4026', 'H4581', 'H4526', 'H4679', 'H4685', 'H4686', 'H4692', 'H4694', 'H4869', 'H5794', 'H5797', 'H5800', 'H6438', 'H6877', 'H7682', 'G3794', 'G3925']	['H490', 'H553', 'H759', 'H1001', 'H1002', 'H1003', 'H1219', 'H1225', 'H2388', 'H4013', 'H4026', 'H4581', 'H4526', 'H4679', 'H4685', 'H4686', 'H4692', 'H4693', 'H4694', 'H4869', 'H5794', 'H5797', 'H5800', 'H6438', 'H6696', 'H6877', 'H7682', 'G3794']	* [2 Corinthians 10:04](rc://en/tn/help/2co/10/04)* [2 Kings 08:10-12](rc://en/tn/help/2ki/08/10)* [2 Samuel 05:8-10](rc://en/tn/help/2sa/05/08)* [Acts 21:35](rc://en/tn/help/act/21/35)* [Habakkuk 01:10-11](rc://en/tn/help/hab/01/10)	47010004. 12008010. 12008011. 12008012. 10005008. 10005009. 10005010. 44021035. 35001010. 35001011. 
982	stumble	stumble	stumble, stumbles, stumbled, stumbling, reeling	ठोकर, ठोकर खाए,  ठोकर खाया,  ठोकर खाता	['H1762', 'H3782', 'H4383', 'H5062', 'H5063', 'H5307', 'H6328', 'H6761', 'H8058', 'G679', 'G4348', 'G4350', 'G4417', 'G4624', 'G4625']	['H1762', 'H3782', 'H4383', 'H4384', 'H5062', 'H5063', 'H5307', 'H6328', 'H6761', 'H8058', 'G679', 'G4348', 'G4350', 'G4417', 'G4624', 'G4625']	* [1 Peter 02:08](rc://en/tn/help/1pe/02/08)* [Hosea 04:05](rc://en/tn/help/hos/04/05)* [Isaiah 31:3](rc://en/tn/help/isa/31/3)* [Matthew 11:4-6](rc://en/tn/help/mat/11/04)* [Matthew 18:08](rc://en/tn/help/mat/18/08)	60002008. 28004005. 40011004. 40011005. 40011006. 40018008. 
983	stumblingblock	stumblingblock	stumbling block, stumbling blocks, stone of stumbling	ठोकर, ठोकर का कारण, ठोकर के कारण, ठोकर का पत्थर	['H4383', 'G3037', 'G4349', 'G4625']	['H4383', 'G3037', 'G4349', 'G4625']	* [1 Corinthians 01:23](rc://en/tn/help/1co/01/23)* [Galatians 05:11](rc://en/tn/help/gal/05/11)* [Matthew 05:29-30](rc://en/tn/help/mat/05/29)* [Matthew 16:23](rc://en/tn/help/mat/16/23)* [Romans 09:33](rc://en/tn/help/rom/09/33)	46001023. 48005011. 40005029. 40005030. 40016023. 45009033. 
984	subject	subject	subject, subjects, subjected, subject to, be subject to, subjection, be subjected, are subjected, was subjected, were subjected, in subjection to, subdue, forced to become slaves	अधीन, अधीन, अधीन, अधीन, अधीन, अधीनता, अधीन, अधीन, अधीन था, अधीन थे, अधीन	['H1697', 'H3533', 'H3665', 'H4522', 'H5647', 'H5927', 'G350', 'G1396', 'G5293']	['H1697', 'H3533', 'H3665', 'H4522', 'H5647', 'H5927', 'G350', 'G1379', 'G1396', 'G1777', 'G3663', 'G5292', 'G5293']	* [1 Corinthians 02:14-16](rc://en/tn/help/1co/02/14)* [1 Kings 04:06](rc://en/tn/help/1ki/04/06)* [1 Peter 02:18-20](rc://en/tn/help/1pe/02/18)* [Hebrews 02:05](rc://en/tn/help/heb/02/05)* [Proverbs 12:23-24](rc://en/tn/help/pro/12/23)	46002014. 46002015. 46002016. 11004006. 60002018. 60002019. 60002020. 58002005. 20012023. 20012024. 
985	submit	submit	submit, submits, submitted, submitting, submission, in submission	अधीन होना, अधीन रहना, अधीन हुआ, अधीन रहना, अधीनता,अधीनता में	['H3584', 'G5226', 'G5292', 'G5293']	['H3584', 'H7511', 'G5226', 'G5293']	* [1 Corinthians 14:34-36](rc://en/tn/help/1co/14/34)* [1 Peter 03:01](rc://en/tn/help/1pe/03/01)* [Hebrews 13:15-17](rc://en/tn/help/heb/13/15)* [Luke 10:20](rc://en/tn/help/luk/10/20)	46014034. 46014035. 46014036. 60003001. 58013015. 58013016. 58013017. 42010020. 
986	suffer	suffer	suffer, suffers, suffered, suffering, sufferings	दुःख उठाए, दुःख उठाना, दुःख उठाया, दुःख उठता, दुःख उठाता	['H943', 'H1741', 'H1934', 'H4531', 'H5142', 'H5375', 'H5999', 'H6031', 'H6040', 'H6041', 'H6064', 'H6090', 'H6770', 'H6869', 'H6887', 'H7661', 'G91', 'G941', 'G971', 'G2210', 'G2346', 'G2347', 'G2552', 'G2553', 'G2561', 'G3804', 'G3958', 'G4310', 'G4778', 'G4777', 'G4841', 'G5004']	['H943', 'H1741', 'H1934', 'H4342', 'H4531', 'H4912', 'H5142', 'H5254', 'H5375', 'H5999', 'H6031', 'H6040', 'H6041', 'H6064', 'H6090', 'H6770', 'H6869', 'H6887', 'H7661', 'G91', 'G941', 'G971', 'G2210', 'G2346', 'G2347', 'G3804', 'G3958', 'G4310', 'G4778', 'G4841', 'G5004', 'G5723']	* [1 Thessalonians 02:14-16](rc://en/tn/help/1th/02/14)* [2 Thessalonians 01:3-5](rc://en/tn/help/2th/01/03)* [2 Timothy 01:08](rc://en/tn/help/2ti/01/08)* [Acts 07:11-13](rc://en/tn/help/act/07/11)* [Isaiah 53:11](rc://en/tn/help/isa/53/11)* [Jeremiah 06:6-8](rc://en/tn/help/jer/06/06)* [Matthew 16:21](rc://en/tn/help/mat/16/21)* [Psalms 022:24](rc://en/tn/help/psa/022/24)* [Revelation 01:09](rc://en/tn/help/rev/01/09)* [Romans 05:3-5](rc://en/tn/help/rom/05/03)	52002014. 52002015. 52002016. 53001003. 53001004. 53001005. 55001008. 44007011. 44007012. 44007013. 23053011. 24006006. 24006007. 24006008. 40016021. 19022024. 66001009. 45005003. 45005004. 45005005. 
987	sulfur	sulfur	sulfur, sulfurous	गन्धक, गन्धक	['H1614', 'G2303']	['H1614', 'G2303']	* [Genesis 19:24](rc://en/tn/help/gen/19/24)* [Isaiah 34:09](rc://en/tn/help/isa/34/09)* [Luke 17:29](rc://en/tn/help/luk/17/29)* [Revelation 20:10](rc://en/tn/help/rev/20/10)	01019024. 23034009. 42017029. 66020010. 
988	sweep	sweep	sweep, sweeps, swept, sweeping, pursued	झाड़ना, उड़ा ले जाना, झाड़ा-बुहारा, झाड़न	['H622', 'H857', 'H1640', 'H2498', 'H2894', 'H3261', 'H5500', 'H5595', 'H7857', 'G4216', 'G4563', 'G4951']	['H622', 'H857', 'H1640', 'H2498', 'H2894', 'H3261', 'H5500', 'H5502', 'H5595', 'H7857', 'H8804', 'G4216', 'G4563', 'G4951']	* [1 Kings 16:03](rc://en/tn/help/1ki/16/03)* [Daniel 11:40-41](rc://en/tn/help/dan/11/40)* [Genesis 18:24](rc://en/tn/help/gen/18/24)* [Proverbs 21:7-8](rc://en/tn/help/pro/21/07)* [Psalms 090:05](rc://en/tn/help/psa/090/05)	11016003. 27011040. 27011041. 01018024. 20021007. 20021008. 19090005. 
989	sword	sword	sword, swords, swordsmen	तलवार, तलवारें, तलवार रखनेवाले	['H19', 'H1300', 'H2719', 'H4380', 'H6609', 'H7524', 'H7973', 'G3162', 'G4501']	['H19', 'H1300', 'H2719', 'H4380', 'H6609', 'H7524', 'H7973', 'G3162', 'G4501']	* [Acts 12:02](rc://en/tn/help/act/12/02)* [Genesis 27:40](rc://en/tn/help/gen/27/40)* [Genesis 34:25](rc://en/tn/help/gen/34/25)* [Luke 02:33-35](rc://en/tn/help/luk/02/33)* [Luke 21:24](rc://en/tn/help/luk/21/24)* [Matthew 10:34](rc://en/tn/help/mat/10/34)* [Matthew 26:55](rc://en/tn/help/mat/26/55)* [Revelation 01:16](rc://en/tn/help/rev/01/16)	44012002. 01027040. 01034025. 42002033. 42002034. 42002035. 42021024. 40010034. 40026055. 66001016. 
990	tax	tax	tax, taxes, taxed, taxing, taxation, taxpayers, tax collector, tax collectors	कर, करों, कर लगाया, कर लगाना, करदाताओं	['Tax  H2670', 'H4060', 'H4371', 'H4522', 'H4864', 'H6186', 'G1323', 'G2778', 'G5411']	['H2670', 'H4060', 'H4371', 'H4522', 'H4864', 'H6186', 'G583', 'G5411']	* [Luke 20:21-22](rc://en/tn/help/luk/20/21)* [Mark 02:13-14](rc://en/tn/help/mrk/02/13)* [Matthew 09:7-9](rc://en/tn/help/mat/09/07)* [Numbers 31:28-29](rc://en/tn/help/num/31/28)* [Romans 13:6-7](rc://en/tn/help/rom/13/06)* [Luke 03:12-13](rc://en/tn/help/luk/03/12)* [Luke 05:27-28](rc://en/tn/help/luk/05/27)* [Matthew 05:46-48](rc://en/tn/help/mat/05/46)* [Matthew 09:10-11](rc://en/tn/help/mat/09/10)* [Matthew 11:18-19](rc://en/tn/help/mat/11/18)* [Matthew 17:26-27](rc://en/tn/help/mat/17/26)* [Matthew 18:17](rc://en/tn/help/mat/18/17)	42020021. 42020022. 41002013. 41002014. 40009007. 40009008. 40009009. 04031028. 04031029. 45013006. 45013007. 42003012. 42003013. 42005027. 42005028. 40005046. 40005047. 40005048. 40009010. 40009011. 40011018. 40011019. 40017026. 40017027. 40018017. 
991		taxcollector		चुंगी लेनेवाला, चुंगी लेनेवालों		['H5065', 'H5674', 'G5057', 'G5058']		
992	teach	teach	teach, teaches, taught, teaching, teachings, untaught	सिखाना, सिखाता है, पढ़ाया गया, शिक्षा, शिक्षायें, अशिक्षित	['H502', 'H2094', 'H2449', 'H3045', 'H3046', 'H3256', 'H3384', 'H3925', 'H3948', 'H7919', 'H8150', 'G1317', 'G1321', 'G1322', 'G2085', 'G2605', 'G2727', 'G2312', 'G2567', 'G3811']	['H502', 'H2094', 'H2449', 'H3045', 'H3046', 'H3256', 'H3384', 'H3925', 'H3948', 'H7919', 'H8150', 'G1317', 'G1321', 'G1322', 'G2085', 'G2605', 'G2727', 'G3100', 'G2312', 'G2567', 'G3811', 'G4994']	* [1 Timothy 01:03](rc://en/tn/help/1ti/01/03)* [Acts 02:40-42](rc://en/tn/help/act/02/40)* [John 07:14](rc://en/tn/help/jhn/07/14)* [Luke 04:31](rc://en/tn/help/luk/04/31)* [Matthew 04:23](rc://en/tn/help/mat/04/23)* [Psalms 032:08](rc://en/tn/help/psa/032/08)	54001003. 44002040. 44002041. 44002042. 43007014. 42004031. 40004023. 19032008. 
993	teacher	teacher	teacher, teachers, Teacher	गुरु, गुरूओं, उपदेशक	['H3384', 'H3925', 'G1320', 'G2567', 'G3547', 'G5572']	['H3384', 'H3887', 'H3925', 'G1320', 'G2567', 'G3547', 'G5572']	* [Ecclesiastes 01:12-15](rc://en/tn/help/ecc/01/12)* [Ephesians 04:11-13](rc://en/tn/help/eph/04/11)* [Galatians 06:6-8](rc://en/tn/help/gal/06/06)* [Habakkuk 02:18](rc://en/tn/help/hab/02/18)* [James 03:02](rc://en/tn/help/jas/03/02)* [John 01:37-39](rc://en/tn/help/jhn/01/37)* [Luke 06:40](rc://en/tn/help/luk/06/40)* [Matthew 12:38-40](rc://en/tn/help/mat/12/38)	21001012. 21001013. 21001014. 21001015. 49004011. 49004012. 49004013. 48006006. 48006007. 48006008. 35002018. 59003002. 43001037. 43001038. 43001039. 42006040. 40012038. 40012039. 40012040. 
994	tencommandments	tencommandments	Ten Commandments	दस आज्ञाएँ	['H1697', 'H6235']	['H1697', 'H6235']	* [Deuteronomy 04:13-14](rc://en/tn/help/deu/04/13)* [Deuteronomy 10:3-4](rc://en/tn/help/deu/10/03)* [Exodus 34:27-28](rc://en/tn/help/exo/34/27)* [Luke 18:18-21](rc://en/tn/help/luk/18/18)	05004013. 05004014. 05010003. 05010004. 02034027. 02034028. 42018018. 42018019. 42018020. 42018021. 
995	tent	tent	tent, tents, tentmakers	तम्बू, तम्बूओं, तम्बू बनाने वाला	['H167', 'H168', 'H2583', 'H3407', 'H6898']	['H167', 'H168', 'H2583', 'H3407', 'H6898']	* [1 Chronicles 05:10](rc://en/tn/help/1ch/05/10)* [Daniel 11:45](rc://en/tn/help/dan/11/45)* [Exodus 16:18](rc://en/tn/help/exo/16/18)* [Genesis 12:09](rc://en/tn/help/gen/12/09)	13005010. 27011045. 02016018. 01012009. 
996	tenth	tenth	tenth, tenths, tithe, tithes	दशमांश, दसवें अंश, दशमांश, दसवां	['H4643', 'H6237', 'H6241', 'G586', 'G1181', 'G1183']	['H4643', 'H6237', 'H6241', 'G586', 'G1181', 'G1183']	* [Genesis 14:19-20](rc://en/tn/help/gen/14/19)* [Genesis 28:20-22](rc://en/tn/help/gen/28/20)* [Hebrews 07:4-6](rc://en/tn/help/heb/07/04)* [Isaiah 06:13](rc://en/tn/help/isa/06/13)* [Luke 11:42](rc://en/tn/help/luk/11/42)* [Luke 18:11-12](rc://en/tn/help/luk/18/11)* [Matthew 23:23-24](rc://en/tn/help/mat/23/23)	01014019. 01014020. 01028020. 01028021. 01028022. 58007004. 58007005. 58007006. 23006013. 42011042. 42018011. 42018012. 40023023. 40023024. 
997	tentofmeeting	tentofmeeting	tent of meeting	मिलापवाला तम्बू	['H168', 'H4150']	['H168', 'H4150']	* [1 Kings 02:28-29](rc://en/tn/help/1ki/02/28)* [Joshua 19:51](rc://en/tn/help/jos/19/51)* [Leviticus 01:02](rc://en/tn/help/lev/01/02)* [Numbers 04:31-32](rc://en/tn/help/num/04/31)	11002028. 11002029. 06019051. 03001002. 04004031. 04004032. 
998	terror	terror	terror, terrorize, terrorized, terrors, terrify, terrified, terrifying, frightened, panic, terrifying events	डर, डराएँगे, दहशत, भयंकर, डराएँ, घबरा गए, भयानक	['H367', 'H926', 'H928', 'H1091', 'H1161', 'H1204', 'H1205', 'H1763', 'H2111', 'H2113', 'H2189', 'H2731', 'H2847', 'H2851', 'H2865', 'H3372', 'H3707', 'H4032', 'H4172', 'H4288', 'H4637', 'H6184', 'H6206', 'H6343', 'H6973', 'H7374', 'G1629', 'G1630', 'G4422', 'G4426', 'G5400', 'G5401']	['H367', 'H926', 'H928', 'H1091', 'H1161', 'H1204', 'H1763', 'H2111', 'H2189', 'H2283', 'H2731', 'H2847', 'H2851', 'H2865', 'H3372', 'H3707', 'H4032', 'H4048', 'H4172', 'H4288', 'H4637', 'H6184', 'H6206', 'H6343', 'H6973', 'H8541', 'G1629', 'G1630', 'G2258', 'G4422', 'G4426', 'G5401']	* [Deuteronomy 02:25](rc://en/tn/help/deu/02/25)* [Exodus 14:10](rc://en/tn/help/exo/14/10)* [Luke 21:09](rc://en/tn/help/luk/21/09)* [Mark 06:48-50](rc://en/tn/help/mrk/06/48)* [Matthew 28:5-7](rc://en/tn/help/mat/28/05)	05002025. 02014010. 42021009. 41006048. 41006049. 41006050. 40028005. 40028006. 40028007. 
999	thief	thief	thief, thieves, rob, robs, robbed, robber, robbers, robbery, robbing, bandits, violent	चोर, चोर, लूटने, लूटने, लूटने, डाकू, लुटेरे, डकैती, लूट	['H1214', 'H1215', 'H1416', 'H1589', 'H1590', 'H1980', 'H6530', 'H7703', 'G727', 'G2417', 'G2812', 'G3027']	['H1214', 'H1215', 'H1416', 'H1589', 'H1590', 'H1980', 'H6530', 'H6782', 'H7703', 'G727', 'G1888', 'G2417', 'G2812', 'G3027']	* [2 Peter 03:10](rc://en/tn/help/2pe/03/10)* [Luke 12:33](rc://en/tn/help/luk/12/33)* [Mark 14:48](rc://en/tn/help/mrk/14/48)* [Proverbs 06:30](rc://en/tn/help/pro/06/30)* [Revelation 03:03](rc://en/tn/help/rev/03/03)	61003010. 42012033. 41014048. 20006030. 66003003. 
1000	thorn	thorn	thorn, thornbush, thornbushes, thorns, thistle, thistles	कटीले, झड़बेरी, झाड़ियों, काँटों, झाड़ी, ऊँटकटारे	['H329', 'H1863', 'H2312', 'H2336', 'H4534', 'H5285', 'H5518', 'H5544', 'H6791', 'H6796', 'H6975', 'H7063', 'H7898', 'G173', 'G174', 'G4647', 'G5146']	['H329', 'H1863', 'H2312', 'H2336', 'H4534', 'H5285', 'H5518', 'H5544', 'H6791', 'H6796', 'H6975', 'H7063', 'H7898', 'G173', 'G174', 'G4647', 'G5146']	* [Hebrews 06:7-8](rc://en/tn/help/heb/06/07)* [Matthew 13:07](rc://en/tn/help/mat/13/07)* [Matthew 13:22](rc://en/tn/help/mat/13/22)* [Numbers 33:55](rc://en/tn/help/num/33/55)	58006007. 58006008. 40013007. 40013022. 04033055. 
1001	thresh	thresh	thresh, threshes, threshed, threshing	दाँवना, दाँवना, दाएँ हुए, दाँवने	['H212', 'H4173', 'H1637', 'H1758', 'H1786', 'H1869', 'H2251', 'G248']	['H212', 'H4173', 'H1637', 'H1758', 'H1786', 'H1869', 'H2251', 'G248']	* [2 Chronicles 03:1-3](rc://en/tn/help/2ch/03/01)* [2 Kings 13:07](rc://en/tn/help/2ki/13/07)* [2 Samuel 24:16](rc://en/tn/help/2sa/24/16)* [Daniel 02:35](rc://en/tn/help/dan/02/35)* [Luke 03:17](rc://en/tn/help/luk/03/17)* [Matthew 03:12](rc://en/tn/help/mat/03/12)* [Ruth 03:1-2](rc://en/tn/help/rut/03/01)	14003001. 14003002. 14003003. 12013007. 10024016. 27002035. 42003017. 40003012. 08003001. 08003002. 
1002	threshold	threshold	threshold, thresholds	डेवढ़ी, डेवढ़ियों	['H4670', 'H5592']	['H624', 'H4670', 'H5592']	* [1 Chronicles 09:17-19](rc://en/tn/help/1ch/09/17)* [Ezekiel 09:03](rc://en/tn/help/ezk/09/03)* [Isaiah 06:04](rc://en/tn/help/isa/06/04)* [Proverbs 17:19](rc://en/tn/help/pro/17/19)	13009017. 13009018. 13009019. 26009003. 23006004. 20017019. 
1003	throne	throne	throne, thrones, enthroned	सिंहासन, सिंहासनों, विराजमान	['H3427', 'H3676', 'H3678', 'H3764', 'H7675', 'G968', 'G2362']	['H3427', 'H3676', 'H3678', 'H3764', 'H7675', 'G968', 'G2362']	* [Colossians 01:15-17](rc://en/tn/help/col/01/15)* [Genesis 41:40](rc://en/tn/help/gen/41/40)* [Luke 01:32](rc://en/tn/help/luk/01/32)* [Luke 22:30](rc://en/tn/help/luk/22/30)* [Matthew 05:34](rc://en/tn/help/mat/05/34)* [Matthew 19:28](rc://en/tn/help/mat/19/28)* [Revelation 01:4-6](rc://en/tn/help/rev/01/04)	51001015. 51001016. 51001017. 01041040. 42001032. 42022030. 40005034. 40019028. 66001004. 66001005. 66001006. 
1004	time	time	time, timely, times, untimely, date	समय, समयानुकूल, समय, असाधारण	['H116', 'H227', 'H310', 'H1697', 'H1755', 'H2165', 'H2166', 'H2233', 'H2465', 'H3027', 'H3117', 'H3118', 'H3119', 'H3259', 'H3427', 'H4150', 'H4279', 'H4489', 'H4557', 'H5331', 'H5703', 'H5732', 'H5750', 'H5769', 'H6235', 'H6256', 'H6440', 'H6471', 'H6924', 'H7105', 'H7138', 'H7223', 'H7272', 'H7281', 'H7637', 'H7651', 'H7655', 'H7659', 'H7674', 'H7992', 'H8027', 'H8032', 'H8138', 'H8145', 'H8462', 'H8543', 'G744', 'G530', 'G1074', 'G1208', 'G1441', 'G1597', 'G1626', 'G1909', 'G2034', 'G2119', 'G2121', 'G2235', 'G2250', 'G2540', 'G3461', 'G3568', 'G3764', 'G3819', 'G3956', 'G3999', 'G4178', 'G4181', 'G4183', 'G4218', 'G4287', 'G4340', 'G4455', 'G5119', 'G5151', 'G5305', 'G5550', 'G5551', 'G5610']	['H116', 'H227', 'H268', 'H310', 'H570', 'H865', 'H1697', 'H1755', 'H2165', 'H2166', 'H2233', 'H2465', 'H3027', 'H3117', 'H3118', 'H3119', 'H3259', 'H3427', 'H3706', 'H3967', 'H4150', 'H4279', 'H4489', 'H4557', 'H5331', 'H5703', 'H5732', 'H5750', 'H5769', 'H6049', 'H6235', 'H6256', 'H6258', 'H6440', 'H6471', 'H6635', 'H6924', 'H7105', 'H7138', 'H7223', 'H7272', 'H7281', 'H7637', 'H7651', 'H7655', 'H7659', 'H7674', 'H7992', 'H8027', 'H8032', 'H8138', 'H8145', 'H8462', 'H8543', 'G744', 'G530', 'G1074', 'G1208', 'G1441', 'G1597', 'G1626', 'G1909', 'G2034', 'G2119', 'G2121', 'G2235', 'G2250', 'G2540', 'G3379', 'G3461', 'G3568', 'G3763', 'G3764', 'G3819', 'G3956', 'G3999', 'G4178', 'G4181', 'G4183', 'G4218', 'G4277', 'G4287', 'G4340', 'G4455', 'G5119', 'G5151', 'G5305', 'G5550', 'G5551', 'G5610']	* [Acts 01:07](rc://en/tn/help/act/01/07)* [Daniel 12:1-2](rc://en/tn/help/dan/12/01)* [Mark 11:11](rc://en/tn/help/mrk/11/11)* [Matthew 08:29](rc://en/tn/help/mat/08/29)* [Psalms 068:28-29](rc://en/tn/help/psa/068/028)* [Revelation 14:15](rc://en/tn/help/rev/14/15)	44001007. 27012001. 27012002. 41011011. 40008029. 19068028. 19068029. 66014015. 
1005	tomb	tomb	grave, gravediggers, graves, tomb, tombs, burial place	कब्र, मिट्टी देनेवाले, कब्रें, कब्र, कब्रों, कब्रिस्तान	['H1430', 'H6900', 'H6913', 'H7585', 'H7845', 'G3418', 'G3419', 'G5028']	['H1164', 'H1430', 'H6900', 'H6913', 'H7585', 'H7845', 'G86', 'G2750', 'G3418', 'G3419', 'G5028']	* [Acts 02:29-31](rc://en/tn/help/act/02/29)* [Genesis 23:06](rc://en/tn/help/gen/23/06)* [Genesis 50:05](rc://en/tn/help/gen/50/05)* [John 19:41](rc://en/tn/help/jhn/19/41)* [Luke 23:53](rc://en/tn/help/luk/23/53)* [Mark 05:1-2](rc://en/tn/help/mrk/05/01)* [Matthew 27:53](rc://en/tn/help/mat/27/53)* [Romans 03:13](rc://en/tn/help/rom/03/13)	44002029. 44002030. 44002031. 01023006. 01050005. 43019041. 42023053. 41005001. 41005002. 40027053. 45003013. 
1006	tongue	tongue	tongue, tongues, language	जीभ, जीभों	['H3956', 'G1100', 'G1258', 'G2084']	['H762', 'H2013', 'H2790', 'H3956', 'G1100', 'G1258', 'G1447', 'G2084']	* [1 Corinthians 12:10](rc://en/tn/help/1co/12/10)* [1 John 03:18](rc://en/tn/help/1jn/03/18)* [2 Samuel 23:02](rc://en/tn/help/2sa/23/02)* [Acts 02:26](rc://en/tn/help/act/02/26)* [Ezekiel 36:03](rc://en/tn/help/ezk/36/03)* [Philippians 02:11](rc://en/tn/help/php/02/11)	46012010. 62003018. 10023002. 44002026. 26036003. 50002011. 
1007	torment	torment	torment, tormented, tormenting, tormentors, agony, torturers	दुःख देने, सताया, अंधेर करना, दुःख देनेवालों	['H3013', 'G928', 'G929', 'G930', 'G931']	['H3013', 'G928', 'G929', 'G930', 'G931', 'G2558', 'G2851', 'G3600']	* [2 Peter 02:08](rc://en/tn/help/2pe/02/08)* [Jeremiah 30:20-22](rc://en/tn/help/jer/30/20)* [Lamentations 01:11-12](rc://en/tn/help/lam/01/11)* [Luke 08:28-29](rc://en/tn/help/luk/08/28)* [Revelation 11:10](rc://en/tn/help/rev/11/10)	61002008. 24030020. 24030021. 24030022. 25001011. 25001012. 42008028. 42008029. 66011010. 
1008	tradition	tradition	tradition, traditions	परम्परा, परम्पराओं	['G3862']	['G3862', 'G3970']	* [2 Thessalonians 03:6-9](rc://en/tn/help/2th/03/06)* [Colossians 02:08](rc://en/tn/help/col/02/08)* [Galatians 01:13-14](rc://en/tn/help/gal/01/13)* [Mark 07:02](rc://en/tn/help/mrk/07/02)* [Matthew 15:03](rc://en/tn/help/mat/15/03)	53003006. 53003007. 53003008. 53003009. 51002008. 48001013. 48001014. 41007002. 40015003. 
1009	trample	trample	trample, tramples, trampled, trampling	रौंदे, रौंदेगा, रौंदा, रौंदना	['H947', 'H1758', 'H1869', 'H4001', 'H4823', 'H7429', 'H7512', 'G2662', 'G3961']	['H947', 'H1758', 'H1869', 'H4001', 'H4823', 'H7429', 'H7512', 'G2662', 'G3961']	* [Hebrews 10:29](rc://en/tn/help/heb/10/29)* [Psalms 007:5](rc://en/tn/help/psa/007/5)	58010029
1010		trance		बेसुध होकर		['G1611']		
1011	tremble	tremble	tremble, trembles, trembled, trembling, staggering	कांपना, काँप उठना, काँपकर, थरथराते हुए	['H1674', 'H2111', 'H2112', 'H2151', 'H2342', 'H2648', 'H2727', 'H2729', 'H2730', 'H2731', 'H5128', 'H5568', 'H6342', 'H6426', 'H6427', 'H7264', 'H7268', 'H7269', 'H7322', 'H7460', 'H7461', 'H7481', 'H7493', 'H7578', 'H8078', 'H8653', 'G1790', 'G5141', 'G5156', 'G5425']	['H1674', 'H2111', 'H2112', 'H2151', 'H2342', 'H2648', 'H2729', 'H2730', 'H2731', 'H5128', 'H5568', 'H6342', 'H6426', 'H6427', 'H7264', 'H7268', 'H7269', 'H7322', 'H7460', 'H7461', 'H7478', 'H7481', 'H7493', 'H7578', 'H8078', 'H8653', 'G1719', 'G1790', 'G5141', 'G5156', 'G5425']	* [2 Corinthians 07:15](rc://en/tn/help/2co/07/15)* [2 Samuel 22:44-46](rc://en/tn/help/2sa/22/44)* [Acts 16:29-31](rc://en/tn/help/act/16/29)* [Jeremiah 05:22](rc://en/tn/help/jer/05/22)* [Luke 08:47](rc://en/tn/help/luk/08/47)	47007015. 10022044. 10022045. 10022046. 44016029. 44016030. 44016031. 24005022. 42008047. 
1012	trial	trial	trial, trials, proving	परीक्षा, दुःख	['H974', 'H4531', 'H4941', 'H7378', 'G178', 'G1383', 'G2919', 'G3986']	['H974', 'H4531', 'H4941', 'H7378', 'G178', 'G1382', 'G1383', 'G2919', 'G3984', 'G3986', 'G4451']	* [Deuteronomy 04:34](rc://en/tn/help/deu/04/34)* [Ezekiel 21:12-13](rc://en/tn/help/ezk/21/12)* [Lamentations 03:58-61](rc://en/tn/help/lam/03/58)* [Proverbs 25:7-8](rc://en/tn/help/pro/25/07)	05004034. 26021012. 26021013. 25003058. 25003059. 25003060. 25003061. 20025007. 20025008. 
